id,question,category,type,job_position,level,description
1,Which definition best describes a network?,Networking,Multiple choice,Network Administrator,Easy,This question tests the candidate's understanding of the fundamental concept of a network and its definition.
2,The term describing a computer responsible for storing and providing information requested by a client application is:,Networking,Multiple choice,Network Administrator,Easy,This question assesses knowledge of server roles and functionality in a network.
3,What is a node?,Networking,Multiple choice,Network Engineer,Easy,"Evaluates the understanding of the term ""node"" in the context of networking."
4,What distinguishes a LAN from a WAN?,Networking,Multiple choice,Network Engineer,Easy,Tests knowledge of the differences between Local Area Networks (LANs) and Wide Area Networks (WANs).
5,A term describing a computer connected to a central server with which it can communicate and from which it can request information:,Networking,Multiple choice,Network Technician,Easy,Checks familiarity with client-server architecture and the role of client systems.
6,What unit does data travel across networks in?,Networking,Multiple choice,Network Engineer,Easy,Focuses on the candidate's knowledge of data transmission units like packets or frames.
7,What protocol is required for computers to communicate with one another over the internet?,Networking,Multiple choice,Network Administrator,Easy,Tests understanding of essential internet communication protocols like TCP/IP.
8,What is an Internet Service Provider (ISP)?,Networking,Multiple choice,Network Technician,Easy,Assesses the understanding of the role and function of ISPs in providing internet connectivity.
9,"Of the six required elements of connecting to the internet, which is often supplied by an Internet Service Provider (ISP)?",Networking,Multiple choice,Network Engineer,Easy,"Evaluates knowledge of the components needed for internet connectivity, particularly the role of ISPs."
10,Which best describes the element of TCP/IP?,Networking,Multiple choice,Network Administrator,Medium,Tests understanding of the TCP/IP model and its components.
11,"Of the six required elements of connecting to the internet, which can be supplied in the form of a web browser, an e-mail program, or a mobile application?",Networking,Multiple choice,IT Support Specialist,Easy,Focuses on the application layer in internet communication.
12,Which of the following is not a TCP (Transmission Control Protocol) feature?,Networking,Multiple choice,Network Engineer,Medium,Tests understanding of TCP features and their application in network communication.
13,HTML is what type of language?,Web Development,Multiple choice,Frontend Developer,Easy,Assesses basic knowledge of HTML as a markup language.
14,What tag is used to display a picture in an HTML page?,Web Development,Multiple choice,Frontend Developer,Easy,Tests understanding of the <img> tag and its use in HTML for embedding images.
15,HTML web pages can be read and rendered by?,Web Development,Multiple choice,Frontend Developer,Easy,Evaluates knowledge of web browsers and their role in rendering HTML.
16,Tags and text that are not directly displayed on the page are written in the _____ section.,Web Development,Multiple choice,Frontend Developer,Easy,Tests knowledge of the <head> section and its purpose in HTML documents.
17,Which tag inserts a line horizontally on your web page?,Web Development,Multiple choice,Frontend Developer,Easy,Assesses knowledge of the <hr> tag and its function in HTML.
